transaction_id;user_id;amount;type;timestamp
1;468;634.16;transfer;2025-07-14 10:09:39
2;30;1374.73;payment;2020-08-03 11:31:42
3;561;-93.71;withdrawal;2023-03-10 20:11:26
4;322;1826.53;payment;2020-06-01 11:25:30
5;987;-191.41;payment;2025-04-24 07:37:12
6;507;1789.38;payment;2020-11-16 15:57:06
7;927;246.65;withdrawal;2020-01-07 11:17:21
8;849;483.87;payment;2024-10-25 17:32:15
9;901;1162.96;transfer;2022-05-20 06:24:05
10;744;975.99;deposit;2020-08-30 15:05:33
11;970;1211.67;payment;2024-02-24 05:19:49
12;209;-196.91;payment;2023-07-14 20:23:22
13;405;1054.78;payment;2024-12-11 07:20:48
14;177;434.34;transfer;2020-03-13 14:07:38
15;364;-213.23;withdrawal;2021-12-31 10:30:01
16;611;-459.32;deposit;2022-04-28 05:23:10
17;906;1411.32;transfer;2023-12-02 00:36:47
18;917;1619.17;payment;2024-07-07 22:24:06
19;96;1923.81;deposit;2021-08-26 11:12:13
20;890;385.3;deposit;2021-04-13 11:30:28
21;876;571.26;withdrawal;2021-01-19 21:42:15
22;86;1947.8;payment;2020-11-15 20:08:20
23;176;1099.63;payment;2024-12-17 22:00:11
24;220;53.45;deposit;2021-01-21 01:50:59
25;311;-459.38;deposit;2024-06-23 16:03:54
26;953;16.06;deposit;2023-07-27 20:56:27
27;785;1851.05;deposit;2020-05-06 17:47:09
28;332;1881.23;transfer;2022-06-20 19:54:58
29;995;900.0;payment;2021-08-18 22:07:27
30;307;304.75;payment;2021-02-06 12:15:41
31;399;1376.48;withdrawal;2021-05-30 01:46:14
32;113;-414.91;withdrawal;2023-08-31 05:05:59
33;493;1329.79;payment;2023-12-01 01:00:18
34;396;1779.41;payment;2023-12-27 22:25:43
35;172;-287.68;deposit;2022-03-08 20:13:01
36;119;1822.46;withdrawal;2023-05-25 13:17:33
37;14;1766.74;deposit;2025-06-07 09:24:04
38;330;1460.81;withdrawal;2023-02-25 06:26:20
39;28;1792.99;deposit;2022-07-13 09:05:12
40;743;-66.62;withdrawal;2025-06-30 05:40:58
41;707;1624.27;deposit;2021-08-17 15:50:12
42;481;1174.38;payment;2023-03-25 03:02:32
43;1000;1011.27;withdrawal;2024-12-03 08:22:50
44;186;1852.37;withdrawal;2024-07-04 11:09:02
45;112;-433.49;transfer;2022-06-23 06:03:02
46;604;807.01;withdrawal;2020-09-26 00:37:19
